airport,latitude,longitude,municipality,country,country_code,city,state,postal_code,calling_code,timezone
Willingdon Island Air Base,9.947389602661133,76.27310180664062,Kochi,India,IN-KL,,Kerala,683575,91,Asia/Kolkata
Cochin International Airport,10.152,76.401901,Kochi,India,IN-KL,,Kerala,673635,91,Asia/Kolkata
Calicut International Airport,11.1367998123,75.95529937740001,Calicut,India,IN-KL,,Andhra Pradesh,516162,91,Asia/Kolkata
Kadapa Airport,14.51,78.772778,Kadapa,India,IN-AP,,Andaman and Nicobar Islands,,91,Asia/Kolkata
Car Nicobar Air Force Station,9.152509689331056,92.8196029663086,,India,IN-AN,,Telangana,502313,91,Asia/Kolkata
Dundigul Air Force Academy,17.627199173,78.40339660640001,Hyderabad,India,IN-TG,,Andhra Pradesh,,91,Asia/Kolkata
Dunakonda Airport,15.8063,79.4882,Dunakonda,India,IN-AP,,Telangana,500010,91,Asia/Kolkata
Hakimpet Airport,17.5534992218,78.52490234380002,,India,IN-TG,,Telangana,,91,Asia/Kolkata
Rajiv Gandhi International Airport,17.231317999999998,78.429855,Hyderabad,India,IN-TG,,Telangana,500003,91,Asia/Kolkata
Begumpet Airport,17.4531002045,78.4675979614,Hyderabad,India,IN-TG,,Kerala,670612,91,Asia/Kolkata
Kannur International Airport,11.918614,75.547211,Kannur,India,IN-KL,,Karnataka,583228,91,Asia/Kolkata
Koppal Aerodrome,15.359100341796875,76.21929931640625,Koppal,India,IN-KA,,Tamil Nadu,625012,91,Asia/Kolkata
Madurai Airport,9.83450984955,78.09339904790002,Madurai,India,IN-TN,,Karnataka,574142,91,Asia/Kolkata
Mangalore International Airport,12.961299896199998,74.89009857180001,Mangalore,India,IN-KA,St. Thomas Mount Cantonment,Tamil Nadu,600 061,91,Asia/Kolkata
Chennai International Airport,12.990005493164062,80.16929626464844,Chennai,India,IN-TN,,Karnataka,570004,91,Asia/Kolkata
Mysore Airport,12.23,76.655833,Mysore,India,IN-KA,,Andhra Pradesh,522439,91,Asia/Kolkata
Nagarjuna Sagar Airport,16.542699813842773,79.3187026977539,,India,IN-AP,Port Blair,Andaman and Nicobar Islands,744103,91,Asia/Kolkata
